iso_639_1,movie_id,name
en,1.0,English
en,2.0,English
en,3.0,English
en,4.0,English
hi,4.0,हिन्दी
ko,5.0,한국어/조선말
en,6.0,English
en,7.0,English
ar,8.0,العربية
en,8.0,English
en,9.0,English
en,10.0,English
en,11.0,English
en,12.0,English
en,13.0,English
en,14.0,English
ru,14.0,Pусский
en,15.0,English
sv,15.0,svenska
sr,16.0,Srpski
en,17.0,English
ru,17.0,Pусский
en,18.0,English
de,19.0,Deutsch
en,19.0,English
en,20.0,English
fr,20.0,Français
it,20.0,Italiano
en,21.0,English
en,22.0,English
en,23.0,English
en,24.0,English
en,25.0,English
fr,25.0,Français
it,25.0,Italiano
en,26.0,English
en,27.0,English
en,28.0,English
en,29.0,English
ja,29.0,日本語
en,30.0,English
en,31.0,English
fr,31.0,Français
fr,32.0,Français
en,33.0,English
ar,34.0,العربية
en,34.0,English
fr,34.0,Français
de,34.0,Deutsch
he,34.0,עִבְרִית
ja,34.0,日本語
pt,34.0,Português
la,35.0,Latin
en,35.0,English
fr,35.0,Français
ja,35.0,日本語
zh,35.0,普通话
en,36.0,English
zh,36.0,普通话
ru,36.0,Pусский
en,37.0,English
en,38.0,English
ko,38.0,한국어/조선말
fr,38.0,Français
en,39.0,English
ja,39.0,日本語
es,39.0,Español
en,40.0,English
fr,40.0,Français
es,40.0,Español
en,41.0,English
en,42.0,English
fr,43.0,Français
en,43.0,English
en,44.0,English
en,45.0,English
it,46.0,Italiano
es,46.0,Español
en,47.0,English
es,48.0,Español
en,48.0,English
en,49.0,English
en,50.0,English
nl,51.0,Nederlands
en,52.0,English
it,52.0,Italiano
en,53.0,English
en,54.0,English
en,55.0,English
en,56.0,English
en,57.0,English
fr,57.0,Français
en,58.0,English
en,59.0,English
en,60.0,English
fr,60.0,Français
en,61.0,English
fr,61.0,Français
en,62.0,English
it,62.0,Italiano
en,63.0,English
en,64.0,English
en,65.0,English
es,65.0,Español
en,66.0,English
en,67.0,English
cn,68.0,广州话 / 廣州話
zh,68.0,普通话
en,69.0,English
en,70.0,English
ja,70.0,日本語
en,71.0,English
qu,72.0,
es,72.0,Español
en,73.0,English
cs,74.0,Český
en,75.0,English
en,76.0,English
en,77.0,English
ta,77.0,தமிழ்
te,77.0,తెలుగు
en,78.0,English
en,79.0,English
de,80.0,Deutsch
en,80.0,English
es,80.0,Español
en,81.0,English
en,82.0,English
pl,82.0,Polski
en,83.0,English
en,84.0,English
ru,84.0,Pусский
en,85.0,English
en,86.0,English
fr,86.0,Français
en,87.0,English
cn,88.0,广州话 / 廣州話
en,88.0,English
en,89.0,English
en,90.0,English
en,91.0,English
ja,91.0,日本語
fr,91.0,Français
it,92.0,Italiano
tr,92.0,Türkçe
fr,93.0,Français
it,93.0,Italiano
en,94.0,English
es,95.0,Español
en,95.0,English
ru,96.0,Pусский
fr,97.0,Français
de,98.0,Deutsch
ru,98.0,Pусский
es,99.0,Español
en,99.0,English
en,100.0,English
es,100.0,Español
en,101.0,English
en,102.0,English
ko,103.0,한국어/조선말
en,104.0,English
tr,105.0,Türkçe
en,106.0,English
en,107.0,English
en,108.0,English
fr,108.0,Français
la,108.0,Latin
gd,108.0,
en,109.0,English
en,110.0,English
en,111.0,English
en,112.0,English
en,113.0,English
en,114.0,English
en,115.0,English
en,116.0,English
en,117.0,English
ja,117.0,日本語
zh,117.0,普通话
en,118.0,English
en,119.0,English
zh,120.0,普通话
cn,120.0,广州话 / 廣州話
en,120.0,English
cn,121.0,广州话 / 廣州話
en,121.0,English
zh,121.0,普通话
en,122.0,English
en,123.0,English
en,124.0,English
zh,124.0,普通话
en,125.0,English
fr,125.0,Français
sv,125.0,svenska
ja,126.0,日本語
zh,126.0,普通话
en,126.0,English
en,127.0,English
en,128.0,English
en,129.0,English
hu,129.0,Magyar
it,129.0,Italiano
en,130.0,English
en,131.0,English
en,132.0,English
es,132.0,Español
en,133.0,English
en,134.0,English
es,134.0,Español
en,135.0,English
en,136.0,English
en,137.0,English
en,138.0,English
en,139.0,English
en,140.0,English
de,140.0,Deutsch
it,140.0,Italiano
en,141.0,English
en,142.0,English
en,143.0,English
en,144.0,English
en,145.0,English
en,146.0,English
fr,146.0,Français
en,147.0,English
en,148.0,English
fr,148.0,Français
ja,148.0,日本語
ko,148.0,한국어/조선말
en,149.0,English
en,150.0,English
en,152.0,English
en,153.0,English
en,154.0,English
en,155.0,English
en,156.0,English
ru,157.0,Pусский
en,158.0,English
en,159.0,English
en,160.0,English
en,161.0,English
en,162.0,English
en,163.0,English
fr,164.0,Français
en,164.0,English
la,164.0,Latin
es,164.0,Español
es,165.0,Español
en,165.0,English
en,166.0,English
en,167.0,English
en,168.0,English
en,169.0,English
en,170.0,English
en,171.0,English
en,172.0,English
en,173.0,English
en,174.0,English
en,175.0,English
en,176.0,English
en,177.0,English
en,179.0,English
en,180.0,English
es,180.0,Español
en,181.0,English
en,182.0,English
el,183.0,ελληνικά
en,183.0,English
ga,183.0,Gaeilge
ja,184.0,日本語
en,185.0,English
pt,185.0,Português
ja,185.0,日本語
en,186.0,English
en,187.0,English
en,188.0,English
en,189.0,English
en,190.0,English
en,191.0,English
en,192.0,English
en,193.0,English
fr,194.0,Français
en,194.0,English
en,195.0,English
fa,196.0,فارسی
es,197.0,Español
en,197.0,English
en,198.0,English
en,199.0,English
en,200.0,English
en,201.0,English
en,202.0,English
en,203.0,English
en,204.0,English
en,205.0,English
en,206.0,English
en,207.0,English
en,208.0,English
en,209.0,English
fr,209.0,Français
en,210.0,English
en,211.0,English
fr,211.0,Français
en,212.0,English
en,213.0,English
hi,214.0,हिन्दी
en,215.0,English
en,216.0,English
ja,217.0,日本語
th,217.0,ภาษาไทย
en,218.0,English
ru,218.0,Pусский
pl,218.0,Polski
sv,219.0,svenska
en,220.0,English
en,221.0,English
de,221.0,Deutsch
ja,221.0,日本語
zh,221.0,普通话
en,222.0,English
en,223.0,English
en,224.0,English
en,225.0,English
en,226.0,English
en,227.0,English
en,228.0,English
en,229.0,English
de,229.0,Deutsch
es,229.0,Español
en,230.0,English
de,231.0,Deutsch
en,231.0,English
fr,231.0,Français
hi,231.0,हिन्दी
tr,231.0,Türkçe
cn,231.0,广州话 / 廣州話
en,232.0,English
en,233.0,English
en,234.0,English
en,235.0,English
de,235.0,Deutsch
pt,235.0,Português
es,235.0,Español
en,236.0,English
es,236.0,Español
th,236.0,ภาษาไทย
en,237.0,English
es,237.0,Español
ca,238.0,Català
es,238.0,Español
en,239.0,English
en,240.0,English
en,241.0,English
en,242.0,English
en,243.0,English
ja,243.0,日本語
en,244.0,English
es,244.0,Español
en,245.0,English
en,246.0,English
sv,247.0,svenska
en,247.0,English
hu,248.0,Magyar
de,248.0,Deutsch
ru,248.0,Pусский
de,249.0,Deutsch
en,249.0,English
de,250.0,Deutsch
en,250.0,English
fr,250.0,Français
ar,250.0,العربية
fr,251.0,Français
en,252.0,English
la,252.0,Latin
en,253.0,English
ru,254.0,Pусский
tl,255.0,
en,256.0,English
en,257.0,English
en,258.0,English
ja,259.0,日本語
hi,260.0,हिन्दी
en,261.0,English
en,262.0,English
ja,263.0,日本語
en,264.0,English
en,265.0,English
en,266.0,English
da,267.0,Dansk
en,267.0,English
en,268.0,English
en,269.0,English
en,270.0,English
en,271.0,English
en,272.0,English
en,273.0,English
en,274.0,English
en,275.0,English
en,276.0,English
te,277.0,తెలుగు
en,278.0,English
de,278.0,Deutsch
th,278.0,ภาษาไทย
en,279.0,English
es,280.0,Español
en,280.0,English
en,281.0,English
en,282.0,English
ja,282.0,日本語
en,283.0,English
fr,284.0,Français
en,285.0,English
es,285.0,Español
en,286.0,English
en,287.0,English
en,288.0,English
en,289.0,English
en,290.0,English
en,291.0,English
en,292.0,English
it,293.0,Italiano
en,293.0,English
ja,293.0,日本語
en,294.0,English
pt,294.0,Português
en,295.0,English
ru,296.0,Pусский
en,297.0,English
es,297.0,Español
en,298.0,English
ko,298.0,한국어/조선말
ru,298.0,Pусский
fr,299.0,Français
en,299.0,English
en,300.0,English
en,301.0,English
en,302.0,English
en,303.0,English
ru,303.0,Pусский
en,304.0,English
en,305.0,English
pt,305.0,Português
en,306.0,English
ga,306.0,Gaeilge
la,306.0,Latin
zh,306.0,普通话
en,307.0,English
en,308.0,English
es,308.0,Español
en,309.0,English
zh,310.0,普通话
en,310.0,English
en,311.0,English
fr,312.0,Français
en,312.0,English
en,313.0,English
en,314.0,English
en,315.0,English
en,316.0,English
en,317.0,English
en,318.0,English
en,319.0,English
ja,319.0,日本語
ru,319.0,Pусский
de,320.0,Deutsch
en,320.0,English
en,321.0,English
en,322.0,English
en,323.0,English
fr,323.0,Français
en,324.0,English
en,325.0,English
en,326.0,English
en,327.0,English
en,328.0,English
es,328.0,Español
en,329.0,English
en,330.0,English
en,331.0,English
zh,332.0,普通话
cn,332.0,广州话 / 廣州話
en,332.0,English
en,333.0,English
en,334.0,English
ta,335.0,தமிழ்
hi,336.0,हिन्दी
en,336.0,English
fr,337.0,Français
en,337.0,English
ja,338.0,日本語
en,339.0,English
es,339.0,Español
en,340.0,English
en,341.0,English
en,342.0,English
zh,342.0,普通话
en,343.0,English
en,344.0,English
en,345.0,English
en,346.0,English
en,347.0,English
en,348.0,English
fr,348.0,Français
hu,348.0,Magyar
ja,349.0,日本語
bn,350.0,বাংলা
en,350.0,English
en,351.0,English
en,352.0,English
de,352.0,Deutsch
en,353.0,English
en,354.0,English
ru,355.0,Pусский
en,355.0,English
en,356.0,English
en,357.0,English
fr,357.0,Français
ar,357.0,العربية
en,358.0,English
en,359.0,English
en,360.0,English
en,361.0,English
kk,361.0,қазақ
ta,362.0,தமிழ்
ru,363.0,Pусский
en,364.0,English
fr,364.0,Français
pl,364.0,Polski
ar,365.0,العربية
en,365.0,English
ja,365.0,日本語
fa,365.0,فارسی
en,366.0,English
en,367.0,English
de,368.0,Deutsch
fr,368.0,Français
en,369.0,English
en,370.0,English
en,371.0,English
hi,372.0,हिन्दी
cs,373.0,Český
en,373.0,English
es,373.0,Español
sh,373.0,
en,374.0,English
en,375.0,English
en,376.0,English
en,377.0,English
gd,378.0,
it,378.0,Italiano
yi,378.0,
en,378.0,English
en,379.0,English
en,380.0,English
af,381.0,Afrikaans
en,381.0,English
en,382.0,English
fr,382.0,Français
th,382.0,ภาษาไทย
en,383.0,English
ru,384.0,Pусский
en,384.0,English
en,385.0,English
en,386.0,English
fr,386.0,Français
ru,386.0,Pусский
en,387.0,English
es,387.0,Español
en,388.0,English
en,389.0,English
en,390.0,English
it,391.0,Italiano
ru,392.0,Pусский
fr,393.0,Français
en,394.0,English
ja,395.0,日本語
zh,395.0,普通话
ar,395.0,العربية
en,395.0,English
en,396.0,English
en,397.0,English
en,398.0,English
en,399.0,English
fr,399.0,Français
en,400.0,English
en,401.0,English
hy,401.0,
pa,402.0,ਪੰਜਾਬੀ
bn,402.0,বাংলা
en,402.0,English
hi,402.0,हिन्दी
en,403.0,English
en,404.0,English
en,405.0,English
en,406.0,English
en,407.0,English
pt,407.0,Português
en,408.0,English
en,409.0,English
fr,409.0,Français
de,409.0,Deutsch
el,409.0,ελληνικά
en,410.0,English
de,410.0,Deutsch
en,411.0,English
en,412.0,English
en,413.0,English
pt,413.0,Português
nl,414.0,Nederlands
en,415.0,English
he,415.0,עִבְרִית
en,416.0,English
ja,417.0,日本語
en,418.0,English
it,418.0,Italiano
en,419.0,English
pt,419.0,Português
es,419.0,Español
hi,420.0,हिन्दी
en,421.0,English
fr,421.0,Français
de,421.0,Deutsch
es,421.0,Español
en,422.0,English
en,423.0,English
it,423.0,Italiano
en,424.0,English
en,425.0,English
fr,426.0,Français
en,427.0,English
es,428.0,Español
en,429.0,English
it,429.0,Italiano
en,430.0,English
en,431.0,English
en,432.0,English
en,433.0,English
en,434.0,English
es,434.0,Español
en,435.0,English
en,436.0,English
en,437.0,English
ja,438.0,日本語
en,438.0,English
fr,438.0,Français
en,439.0,English
it,439.0,Italiano
pt,440.0,Português
en,441.0,English
de,442.0,Deutsch
en,442.0,English
en,443.0,English
en,444.0,English
fr,445.0,Français
de,445.0,Deutsch
es,445.0,Español
en,446.0,English
bg,447.0,български език
en,447.0,English
en,448.0,English
en,449.0,English
ru,449.0,Pусский
en,450.0,English
zh,450.0,普通话
en,451.0,English
fr,451.0,Français
he,451.0,עִבְרִית
it,451.0,Italiano
es,451.0,Español
de,451.0,Deutsch
en,452.0,English
en,453.0,English
fr,453.0,Français
it,453.0,Italiano
en,454.0,English
en,456.0,English
it,456.0,Italiano
en,457.0,English
fr,457.0,Français
en,458.0,English
en,459.0,English
en,460.0,English
nl,461.0,Nederlands
de,461.0,Deutsch
ru,461.0,Pусский
en,462.0,English
en,463.0,English
en,464.0,English
en,465.0,English
en,466.0,English
en,467.0,English
en,468.0,English
en,469.0,English
en,470.0,English
en,472.0,English
en,473.0,English
fr,473.0,Français
en,474.0,English
de,474.0,Deutsch
ru,475.0,Pусский
es,476.0,Español
en,477.0,English
en,478.0,English
ar,479.0,العربية
en,479.0,English
en,480.0,English
en,481.0,English
de,482.0,Deutsch
hi,482.0,हिन्दी
en,483.0,English
en,484.0,English
en,485.0,English
en,486.0,English
en,487.0,English
ru,488.0,Pусский
en,489.0,English
en,490.0,English
en,491.0,English
yi,491.0,
en,492.0,English
en,493.0,English
en,494.0,English
en,495.0,English
en,496.0,English
en,497.0,English
en,498.0,English
en,499.0,English
en,500.0,English
th,500.0,ภาษาไทย
en,501.0,English
fr,501.0,Français
de,501.0,Deutsch
en,502.0,English
en,503.0,English
en,504.0,English
en,505.0,English
fr,506.0,Français
en,506.0,English
fr,507.0,Français
en,507.0,English
he,507.0,עִבְרִית
en,508.0,English
en,509.0,English
en,510.0,English
en,511.0,English
en,512.0,English
en,513.0,English
en,514.0,English
en,515.0,English
en,516.0,English
ta,517.0,தமிழ்
la,518.0,Latin
en,518.0,English
fr,518.0,Français
it,518.0,Italiano
de,519.0,Deutsch
en,519.0,English
en,520.0,English
en,521.0,English
en,522.0,English
it,523.0,Italiano
en,523.0,English
fr,523.0,Français
en,524.0,English
ta,525.0,தமிழ்
en,526.0,English
it,526.0,Italiano
en,527.0,English
en,528.0,English
en,529.0,English
de,529.0,Deutsch
ru,529.0,Pусский
es,529.0,Español
en,530.0,English
en,531.0,English
en,532.0,English
en,533.0,English
en,534.0,English
es,534.0,Español
ru,534.0,Pусский
en,535.0,English
de,536.0,Deutsch
it,536.0,Italiano
en,536.0,English
en,537.0,English
en,538.0,English
de,539.0,Deutsch
el,539.0,ελληνικά
en,539.0,English
en,540.0,English
en,541.0,English
en,542.0,English
en,543.0,English
en,544.0,English
en,545.0,English
en,546.0,English
en,547.0,English
en,548.0,English
en,549.0,English
en,550.0,English
en,551.0,English
sw,551.0,Kiswahili
en,552.0,English
en,553.0,English
en,554.0,English
ru,555.0,Pусский
en,555.0,English
ja,555.0,日本語
fr,555.0,Français
de,555.0,Deutsch
it,555.0,Italiano
es,555.0,Español
en,556.0,English
it,556.0,Italiano
en,557.0,English
en,558.0,English
en,559.0,English
de,559.0,Deutsch
no,559.0,Norsk
ar,560.0,العربية
en,560.0,English
it,560.0,Italiano
en,561.0,English
en,562.0,English
en,563.0,English
fr,564.0,Français
en,564.0,English
es,565.0,Español
en,566.0,English
es,566.0,Español
cs,567.0,Český
en,567.0,English
es,567.0,Español
en,568.0,English
en,569.0,English
en,570.0,English
es,571.0,Español
en,571.0,English
en,572.0,English
en,573.0,English
en,574.0,English
en,575.0,English
en,576.0,English
en,577.0,English
en,578.0,English
fr,578.0,Français
en,579.0,English
en,580.0,English
en,581.0,English
en,582.0,English
en,583.0,English
en,584.0,English
es,584.0,Español
en,585.0,English
hi,586.0,हिन्दी
hi,587.0,हिन्दी
mr,587.0,
en,588.0,English
en,589.0,English
en,590.0,English
zh,590.0,普通话
bo,590.0,
en,591.0,English
ru,592.0,Pусский
en,593.0,English
en,594.0,English
el,594.0,ελληνικά
fr,594.0,Français
en,595.0,English
fr,596.0,Français
ru,596.0,Pусский
en,597.0,English
it,597.0,Italiano
en,598.0,English
en,599.0,English
de,599.0,Deutsch
en,600.0,English
es,600.0,Español
en,601.0,English
en,602.0,English
en,603.0,English
en,604.0,English
fr,604.0,Français
en,605.0,English
xx,606.0,No Language
zh,607.0,普通话
en,608.0,English
en,609.0,English
da,610.0,Dansk
en,610.0,English
fi,610.0,suomi
de,610.0,Deutsch
no,610.0,Norsk
pl,610.0,Polski
es,610.0,Español
sv,610.0,svenska
en,611.0,English
de,611.0,Deutsch
pt,611.0,Português
ja,612.0,日本語
ko,612.0,한국어/조선말
en,613.0,English
en,614.0,English
en,615.0,English
de,615.0,Deutsch
el,615.0,ελληνικά
en,616.0,English
es,617.0,Español
en,618.0,English
en,619.0,English
en,620.0,English
de,620.0,Deutsch
sv,620.0,svenska
yi,620.0,
en,621.0,English
es,622.0,Español
en,623.0,English
en,624.0,English
en,625.0,English
en,626.0,English
en,627.0,English
hi,628.0,हिन्दी
en,629.0,English
fr,629.0,Français
en,630.0,English
hy,631.0,
en,631.0,English
de,632.0,Deutsch
fr,632.0,Français
ru,632.0,Pусский
en,632.0,English
en,633.0,English
en,634.0,English
en,635.0,English
en,636.0,English
en,637.0,English
ru,638.0,Pусский
en,638.0,English
en,639.0,English
en,640.0,English
en,641.0,English
en,642.0,English
en,643.0,English
en,644.0,English
ja,645.0,日本語
en,646.0,English
ar,647.0,العربية
en,647.0,English
fa,647.0,فارسی
ur,647.0,اردو
fr,647.0,Français
zh,647.0,普通话
en,648.0,English
en,649.0,English
en,650.0,English
en,651.0,English
en,652.0,English
es,652.0,Español
en,653.0,English
ja,654.0,日本語
es,655.0,Español
en,656.0,English
en,657.0,English
en,658.0,English
en,659.0,English
ja,659.0,日本語
en,660.0,English
de,660.0,Deutsch
en,661.0,English
da,662.0,Dansk
it,662.0,Italiano
en,662.0,English
en,663.0,English
en,664.0,English
en,665.0,English
en,666.0,English
en,667.0,English
en,668.0,English
en,669.0,English
en,670.0,English
en,671.0,English
hi,672.0,हिन्दी
en,673.0,English
en,674.0,English
ru,674.0,Pусский
es,674.0,Español
en,675.0,English
de,675.0,Deutsch
ko,675.0,한국어/조선말
ru,675.0,Pусский
es,675.0,Español
en,676.0,English
en,677.0,English
en,678.0,English
en,679.0,English
fr,680.0,Français
en,680.0,English
en,681.0,English
ja,681.0,日本語
fr,681.0,Français
ar,681.0,العربية
es,681.0,Español
cn,682.0,广州话 / 廣州話
en,682.0,English
en,683.0,English
en,684.0,English
en,685.0,English
en,686.0,English
sq,687.0,shqip
ar,687.0,العربية
en,687.0,English
ro,687.0,Română
cs,688.0,Český
en,688.0,English
hu,688.0,Magyar
en,689.0,English
en,690.0,English
en,691.0,English
en,692.0,English
en,693.0,English
en,694.0,English
en,695.0,English
hi,696.0,हिन्दी
en,697.0,English
hu,697.0,Magyar
en,698.0,English
en,699.0,English
en,700.0,English
en,701.0,English
en,702.0,English
en,703.0,English
en,704.0,English
en,705.0,English
ru,705.0,Pусский
es,705.0,Español
de,705.0,Deutsch
ln,705.0,
en,706.0,English
en,707.0,English
en,708.0,English
en,709.0,English
en,710.0,English
en,711.0,English
en,712.0,English
en,713.0,English
en,714.0,English
ja,714.0,日本語
en,715.0,English
en,716.0,English
en,717.0,English
en,718.0,English
en,719.0,English
es,720.0,Español
cn,721.0,广州话 / 廣州話
en,721.0,English
zh,721.0,普通话
en,722.0,English
en,723.0,English
en,724.0,English
en,725.0,English
it,725.0,Italiano
en,726.0,English
de,727.0,Deutsch
en,728.0,English
en,729.0,English
en,730.0,English
pt,730.0,Português
fr,731.0,Français
it,731.0,Italiano
pl,731.0,Polski
en,732.0,English
en,733.0,English
ko,734.0,한국어/조선말
en,735.0,English
en,736.0,English
en,737.0,English
en,738.0,English
en,739.0,English
en,740.0,English
en,741.0,English
en,742.0,English
ar,743.0,العربية
en,743.0,English
ur,743.0,اردو
en,744.0,English
en,745.0,English
fr,746.0,Français
en,747.0,English
en,748.0,English
it,748.0,Italiano
en,749.0,English
en,750.0,English
en,751.0,English
pl,751.0,Polski
pt,751.0,Português
en,752.0,English
my,752.0,
th,752.0,ภาษาไทย
en,753.0,English
en,754.0,English
en,755.0,English
en,756.0,English
he,756.0,עִבְרִית
ru,756.0,Pусский
yi,756.0,
cn,757.0,广州话 / 廣州話
zh,757.0,普通话
en,758.0,English
en,759.0,English
fr,759.0,Français
en,760.0,English
en,761.0,English
en,762.0,English
de,763.0,Deutsch
en,764.0,English
en,765.0,English
en,766.0,English
en,767.0,English
en,768.0,English
en,769.0,English
en,770.0,English
en,771.0,English
de,771.0,Deutsch
de,772.0,Deutsch
en,773.0,English
en,774.0,English
en,775.0,English
en,776.0,English
en,777.0,English
ja,777.0,日本語
en,778.0,English
zh,778.0,普通话
es,778.0,Español
en,779.0,English
en,780.0,English
en,781.0,English
ru,781.0,Pусский
en,782.0,English
en,783.0,English
nl,784.0,Nederlands
en,784.0,English
en,785.0,English
